index,Geography,01-Apr,May-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,<1-9999,"10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-64,999","65,000-74,999",White,Latino,Black,Asian,migration rate,migration st. dev. ,unemployment rate,unemployment st. dev.,birth rate,birth st. dev,death rate,death st. dev.,01-Apr,May-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,<1-9999,"10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-64,999","65,000-74,999",White,Latino,Black,Asian,Initial Population,Initial Amenities,Population Density,prop_of_pop_modeled,emp_density,world_side_size,prop_tertiary_job,prop_tertiary_people,pareto_alpha,job_1_amenity_effect,job_1_price_effect,job_2_amenity_effect,job_2_price_effect,vacant_amenity_effect,vacant_price_effect,hood_price_effect,hood_amenities_effect,real_modeled_population
11,"Athens-Clarke County, GA Urbanized Area",0.050254428,0.193163443,0.288341102,0.495102323,0.594352188,0.67247239,0.736165101,0.798088099,0.850280219,0.903230787,0.953597201,0.32133722,0.438682438,0.596305108,0.710795385,0.815405064,0.884225223,0.908878687,0.602413214,0.677108732,0.913399028,0.959322905,0.010497799,0.006834913,0.0852,0.006675328,0.0113419,0.000226097,0.006986555,0.000219959,0.036292445,0.117403834,0.358958777,0.671350708,0.781499812,0.841266759,0.883285303,0.921075053,0.94505701,0.966194712,0.984074677,0.528890864,0.64726648,0.774249521,0.85063936,0.915301901,0.955424303,0.969792806,0.650937193,0.710142917,0.88299419,0.939171458,400,43,1198,0.003393512,44,10,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,117872
12,"Atlantic City, NJ Urbanized Area",0.062193755,0.254773999,0.286450667,0.368441242,0.44226009,0.510127788,0.576914968,0.651602525,0.736026463,0.830246323,0.916379374,0.202515741,0.306256384,0.474766286,0.609975417,0.736356174,0.828155231,0.865898036,0.568744005,0.666819209,0.828319217,0.915337408,-0.004012517,0.001833562,0.1172,0.009495262,0.011124431,0.000487138,0.010926091,0.000298292,0.080173205,0.247803664,0.293315077,0.427312408,0.570609414,0.661444577,0.731914982,0.785968473,0.838756985,0.900581056,0.952521616,0.268443219,0.3846226,0.560514393,0.687583833,0.812702254,0.888660645,0.917616381,0.469942831,0.610812753,0.816410335,0.897756219,400,50,1637,0.001952153,44,11,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,204902
13,"Augusta-Richmond County, GA--SC Urbanized Area",0.062650405,0.267912406,0.299953395,0.388475304,0.477735862,0.556267239,0.629317951,0.702231485,0.775621624,0.854359939,0.930375803,0.218977164,0.331830613,0.503385043,0.625780129,0.757354436,0.849237058,0.885702116,0.531534846,0.561237952,0.935080302,0.959846844,0.00520506,0.001887084,0.1016,0.006711185,0.012660474,1.00E-04,0.008875256,0.000228441,0.083309082,0.258736446,0.310533722,0.467575775,0.609067348,0.697987887,0.774805619,0.838561906,0.886161715,0.930471342,0.971918749,0.285046047,0.410664078,0.589195089,0.711966281,0.824205174,0.900597031,0.930011015,0.492015612,0.521056836,0.916155804,0.943222849,400,46,1315,0.00117246,44,16,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,341163
14,"Avondale--Goodyear, AZ Urbanized Area",0.071587486,0.315868231,0.346681827,0.420391438,0.500355114,0.585603779,0.671157285,0.753137194,0.824766395,0.892610214,0.951548381,0.167746217,0.250474348,0.402884097,0.546998601,0.717014522,0.827114625,0.874753479,0.471026066,0.76244642,0.854394405,0.891771979,0.011316033,0.000902977,0.073,0.016112107,0.013250646,0.000298294,0.006993873,0.000187374,0.083650557,0.315074929,0.349310943,0.456072616,0.570080229,0.66824676,0.756667711,0.828795837,0.883860165,0.933461427,0.964932781,0.205816748,0.287189944,0.455402702,0.610126655,0.760609629,0.866528811,0.901193793,0.436532561,0.729462719,0.837593066,0.88143031,400,86,2127,0.002139243,44,9,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,186982
15,"Bakersfield, CA Urbanized Area",0.08187183,0.327215628,0.360791664,0.450570449,0.537942591,0.617983993,0.690093405,0.757249581,0.824136529,0.890054498,0.950010035,0.212290094,0.352997501,0.529397675,0.647318805,0.758749224,0.838384496,0.875618254,0.360743098,0.711479431,0.771932034,0.821588864,-0.000567703,0.001187412,0.1202,0.010342147,0.016322372,0.000577517,0.006712142,0.000123677,0.112633248,0.336239098,0.372189675,0.494324289,0.623315126,0.720747071,0.796145714,0.853017355,0.897548674,0.939274073,0.973332746,0.250095644,0.410376439,0.587602411,0.709798968,0.813173566,0.889414227,0.916270257,0.361443285,0.665556404,0.747488684,0.798502204,400,86,3520,0.000820819,44,12,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,487318
16,"Barnstable Town, MA Urbanized Area",0.046630622,0.224786893,0.252354531,0.322251412,0.38386274,0.442526543,0.504089908,0.579098084,0.670978221,0.778396085,0.88816739,0.15975915,0.252827841,0.407876047,0.53654908,0.677798908,0.789617567,0.840258184,0.906945175,0.924416743,0.948802286,0.961017927,0.005199101,0.000633253,0.0718,0.011356056,0.009294357,3.93E-05,0.010047611,0.000258493,0.080456521,0.214920685,0.244091932,0.36967698,0.49529344,0.580744464,0.654122821,0.71141825,0.783089891,0.853525993,0.920475368,0.192188856,0.297205346,0.458589365,0.601157207,0.737603425,0.828999595,0.868992652,0.867289019,0.880792161,0.936455805,0.947272597,400,57,662,0.002180122,44,17,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,183476
17,"Baton Rouge, LA Urbanized Area",0.063433037,0.2634685,0.300666961,0.40930495,0.497840712,0.584011773,0.656734649,0.72634256,0.795511551,0.868587536,0.939827348,0.209114911,0.311237407,0.462775624,0.585918769,0.726052915,0.822105518,0.863384723,0.538031466,0.568488424,0.946361178,0.971422,-0.000110471,0.00359137,0.0722,0.004534314,0.013663459,0.000114095,0.008046827,0.000225087,0.077462875,0.238147005,0.312480982,0.514033584,0.654027963,0.75395758,0.820674885,0.867290123,0.908892621,0.948253555,0.977923499,0.29837464,0.411496723,0.569539106,0.686351479,0.806050769,0.88317783,0.914734707,0.493239902,0.533150758,0.923799492,0.955611979,400,46,1436,0.000759376,44,19,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,526748
18,"Beaumont, TX Urbanized Area",0.070223159,0.279989653,0.315147254,0.408443283,0.495467631,0.572249712,0.644694621,0.715074889,0.784226847,0.862053151,0.934055296,0.220707684,0.338312654,0.521719405,0.645835998,0.776490199,0.858501087,0.891600844,0.473774662,0.565608571,0.933352611,0.958891344,0.000470116,0.002129456,0.077,0.018729656,0.01360039,0.00036336,0.010005246,0.000195613,0.090013071,0.284678317,0.328915138,0.496441884,0.621890884,0.718235949,0.783753691,0.845892434,0.901466815,0.929844605,0.969337271,0.265545855,0.392899921,0.601832744,0.711321163,0.83444693,0.91920052,0.938971066,0.408926862,0.507448258,0.934862267,0.959177285,400,57,1375,0.003173923,44,10,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,126027
19,"Binghamton, NY--PA Urbanized Area",0.051565906,0.224352194,0.283611697,0.411207895,0.486319969,0.55782185,0.621584693,0.682987748,0.756594008,0.842536662,0.926953132,0.238015868,0.351432419,0.531291323,0.655785061,0.787532626,0.874864131,0.911252691,0.819641556,0.842905781,0.908620886,0.958552689,-0.005796833,0.001100433,0.0806,0.006621178,0.010202976,0.000276829,0.010338255,0.000248477,0.067504278,0.196029916,0.286493521,0.557514801,0.676609282,0.755046955,0.81528908,0.858090793,0.89992047,0.941155678,0.975393835,0.377414318,0.514843486,0.699723766,0.805675354,0.88971383,0.93903198,0.955955409,0.687649559,0.728518264,0.848006764,0.936409683,400,48,1722,0.003133838,44,9,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,127639
20,"Birmingham, AL Urbanized Area",0.062463846,0.262142689,0.29165437,0.370369099,0.456928078,0.541107611,0.617814721,0.694008017,0.770510343,0.8520113,0.930759746,0.204724865,0.310005571,0.469454923,0.593450945,0.730245511,0.828720509,0.867508197,0.538797358,0.558718005,0.943806595,0.961770078,0.001127231,0.0007377,0.083,0.009402127,0.012612033,0.000201551,0.009871806,0.000249155,0.083285877,0.252090689,0.301419908,0.442920649,0.592181875,0.702388718,0.777926188,0.842344954,0.887736119,0.93428178,0.972642431,0.27271634,0.383611525,0.561830776,0.689725336,0.818726249,0.895050267,0.922054933,0.469807087,0.492726511,0.924486894,0.948619525,400,57,1220,0.000618681,44,23,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,646537
